opeid,unitid,school_name,inst_name,state,state_abbr,sector,sector_label,closed_date,closed_year,first_ipeds_year,last_ipeds_year,last_enroll,city,zip,country
02173100,,COMPUTER COMMUNICATIONS INSTITUTE                                     ,,PA        ,,,Unknown,1984-08-01,1984,,,,UPPER DARBY              ,19082     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00216300,,MARIST COLLEGE & SEMINARY                                             ,,MA        ,,,Unknown,1985-12-31,1985,,,,FRAMINGHAM               ,01701-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01161300,,DRUID CITY HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY                      ,,AL        ,,,Unknown,1986-12-31,1986,,,,TUSCALOOSA               ,35401     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02512900,,SPARKS REGIONAL MEDICAL CENTER SCHOOL FOR RESPIRATORY                 ,,AR        ,,,Unknown,1986-02-01,1986,,,,FORT SMITH               ,72902     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01124900,,SPARKS REGIONAL MEDICAL CENTER SCHOOL OF MEDICAL TECHLGY              ,,AR        ,,,Unknown,1986-02-01,1986,,,,FT SMITH                 ,72901     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01027300,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-01,1986,,,,TUCSON                   ,85719     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01014500,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-30,1986,,,,TUCSON                   ,85712     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02104600,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-30,1986,,,,TUCSON                   ,85730     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01224400,,BIOSYSTEMS INSTITUTE                                                  ,,AZ        ,,,Unknown,1986-07-02,1986,,,,TEMPE                    ,85282     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02113500,,HAIRMASTERS UNIVERSITY OF BEAUTY NO 10                                ,,AZ        ,,,Unknown,1986-10-26,1986,,,,TEMPE                    ,85282     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02125100,,ACADEMY INTERNATIONAL                                                 ,,CA        ,,,Unknown,1986-07-01,1986,,,,SANTA BARBARA            ,93101     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00944500,,CALIFORNIA BUSINESS COLLEGE                                           ,,CA        ,,,Unknown,1986-02-28,1986,,,,LOS ANGELES              ,90013     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01128900,,EL CAJON VALLEY HOSPITAL SCHOOL OF MEDICAL TECHLGY                    ,,CA        ,,,Unknown,1986-11-30,1986,,,,EL CAJON                 ,92021     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02082300,,INTERNATIONAL COLLEGE                                                 ,,CA        ,,,Unknown,1986-09-30,1986,,,,LOS ANGELES              ,90024     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00928000,,OAKLAND COLLEGE OF DENTAL MEDICAL ASSISTANTS                          ,,CA        ,,,Unknown,1986-12-30,1986,,,,OAKLAND                  ,94612     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02088000,,SAN DIEGO TECHL INST                                                  ,,CA        ,,,Unknown,1986-02-01,1986,,,,SAN DIEGO                ,92101     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00449300,,SIERRA COLLEGE OF BUSINESS                                            ,,CA        ,,,Unknown,1986-04-01,1986,,,,LOS ANGELES              ,90014     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02054500,,SUPER SHAPES COLLEGE OF COSMETOLOGY                                   ,,CA        ,,,Unknown,1986-12-31,1986,,,,OAKLAND                  ,94612     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02123700,,WESTLAND COLLEGE                                                      ,,CA        ,,,Unknown,1986-05-31,1986,,,,CLOVIS                   ,93612     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01278100,,ELM CITY BEAUTY ACADEMY                                               ,,CT        ,,,Unknown,1986-06-01,1986,,,,HAMDEN                   ,06514     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00618400,,HOSPITAL OF ST RAPHAEL SCHOOL OF INHALATION THERAPY                   ,,CT        ,,,Unknown,1986-08-07,1986,,,,NEW HAVEN                ,06511     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02140100,,GREATER SE COMMUNITY HOSPITAL SCHOOL OF NURSE ANESTHESIA              ,,DC        ,,,Unknown,1986-08-31,1986,,,,WASHINGTON               ,20032     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02301000,,AMERICAN CAREERS INSTITUTE                                            ,,FL        ,,,Unknown,1986-07-16,1986,,,,FT LAUDERDALE            ,33319     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03019100,,MARSHALLTOWN COMMUNITY COLLEGE OF NURSING                             ,,IA        ,,,Unknown,1986-05-31,1986,,,,MARSHALLTOWN             ,50158     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00168300,,GEORGE WILLIAMS COLLEGE                                               ,,IL        ,,,Unknown,1986-01-01,1986,,,,DOWNERS GROVE            ,60517     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00624700,,SOUTH CHICAGO COMMUNITY HOSPITAL SCHOOL OF NURSE (CLOSED)             ,,IL        ,,,Unknown,1986-12-31,1986,,,,CHICAGO                  ,60617     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00424400,,ST ANTHONY SCHOOL OF RADIOLOGIC TECHNOLOGY                            ,,KS        ,,,Unknown,1986-04-09,1986,,,,HAYS                     ,67601     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00194200,,ST JOHNS COLLEGE                                                      ,,KS        ,,,Unknown,1986-06-13,1986,,,,WINFIELD                 ,67156     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02229800,,BIGGERS SCHOOL COURT REPORT/SECRETARY SCIENCE                         ,,LA        ,,,Unknown,1986-01-08,1986,,,,METAIRIE                 ,70005     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02274200,,COMPUTER COLLEGE (CLOSED)                                             ,,LA        ,,,Unknown,1986-01-22,1986,,,,METAIRIE                 ,70002     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00632300,,BURBANK HOSPITAL SCHOOL OF NURSING                                    ,,MA        ,,,Unknown,1986-10-24,1986,,,,FITCHBURG                ,01420     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02099100,,BUSINESS EDUC INST                                                    ,,MA        ,,,Unknown,1986-10-17,1986,,,,WEST SPRINGFIELD         ,01089     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00902300,,CARNEY HOSPITAL SCHOOL OF ANESTHESIA                                  ,,MA        ,,,Unknown,1986-12-24,1986,,,,BOSTON                   ,02124     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00907100,,CONTROL DATA INSTITUTE(CLOSED)                                        ,,MA        ,,,Unknown,1986-08-21,1986,,,,CAMBRIDGE                ,02140     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00691900,,NEWTON WELLESLEY HOSPITAL SCHOOL OF NURSING                           ,,MA        ,,,Unknown,1986-06-20,1986,,,,NEWTON LOWER FALLS       ,02162     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02253600,,SOUTHWOOD COMMUNITY HOSPITAL SCHOOL OF PRACTICAL NURSING              ,,MA        ,,,Unknown,1986-06-30,1986,,,,NORFOLK                  ,02056     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00749200,,SINAI HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY                        ,,MD        ,,,Unknown,1986-08-30,1986,,,,BALTIMORE                ,21215     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02079900,,LOU ROG SCHOOL OF HAIR DESIGN                                         ,,MI        ,,,Unknown,1986-08-31,1986,,,,GRAND RAPIDS             ,49503     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02271200,,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING                            ,,MI        ,,,Unknown,1986-01-01,1986,,,,CADILLAC                 ,49601     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00638000,,ST LUKES HOSPITAL SCHOOL OF NURSING                                   ,,MN        ,,,Unknown,1986-06-17,1986,,,,DULUTH                   ,55805     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00441700,,ST LOUIS COUNTY HOSPITAL SCHOOL OF RAD TECH                           ,,MO        ,,,Unknown,1986-06-30,1986,,,,CLAYTON                  ,63105     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02201600,,ULTISSIMA BEAUTY COLLEGE OF SAINT LOUIS                               ,,MO        ,,,Unknown,1986-09-30,1986,,,,SAINT ANN                ,63074     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00505600,,REX HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY                          ,,NC        ,,,Unknown,1986-08-31,1986,,,,RALEIGH                  ,27603     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00640900,,CHESHIRE HOSPITAL SCHOOL OF NURSING                                   ,,NH        ,,,Unknown,1986-06-30,1986,,,,KEENE                    ,03431     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02173400,,NEW ENGLAND TECHL INST                                                ,,NH        ,,,Unknown,1986-12-18,1986,,,,MANCHESTER               ,03103     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02130600,,ACADEMY OF BUSINESS CAREERS                                           ,,NJ        ,,,Unknown,1986-12-24,1986,,,,WOODBRIDGE               ,07095     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02059700,,CENTURY INST OF COURT REPORTING                                       ,,NJ        ,,,Unknown,1986-07-02,1986,,,,HACKENSACK               ,07602     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02135800,,OVERLOOK HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY              ,,NJ        ,,,Unknown,1986-01-01,1986,,,,SUMMIT                   ,07901     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02166500,,SPECTRUM INSTITUTE FOR THE ADVERTISING ARTS (CLOSED)                  ,,NJ        ,,,Unknown,1986-01-17,1986,,,,SOMERVILLE               ,08876     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00941100,,TAYLOR BUSINESS INSTITUE (CLOSED)                                     ,,NJ        ,,,Unknown,1986-11-30,1986,,,,BRIDGEWATER              ,08807     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02218900,,SANDIA COLLEGE                                                        ,,NM        ,,,Unknown,1986-06-30,1986,,,,ALBUQUERQUE              ,87108     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00266200,,UNIVERSITY OF ALBUQUERQUE                                             ,,NM        ,,,Unknown,1986-08-30,1986,,,,ALBUQUERQUE              ,87140     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
